site,kind,mutates,guard,handled,note
Assets.Scripts.Objects/DynamicScrubber.cs::GetFromAtmos,gated,yes,WorldAtmosphere = CloneGlobalAtmosphere(WorldGrid) (line 171),,"Own cell is cloned (real) and gets UsedPower*PowerEfficiency J/tick HEAT if above Armstrong; then GetFromCell(own grid) and GetFromCell(each open neighbour): the neighbour calls are the bypass, see GetFromCell."
Assets.Scripts.Objects/DynamicScrubber.cs::GetFromCell,bypass,yes,NONE,accepted: a portable scrubber pulls from neighbouring grids without debiting the planet where they hold no cell; one portable device's intake,"KNOWN. Remove() on SampleGlobalAtmosphere(neighbour): for a neighbour with no real cell the read-only copy returns the moles without any debit. Free SOURCE: IdealGas.Quantity(PressurePerTick, internal volume, T) per neighbour per filter per tick, up to 6 neighbours; with filters only the filtered gas is kept (the remainder is Added back to the read-only copy = ignored), without filters everything is kept. Also STORES the sampled atmosphere into WorldAtmosphere (lines 199, 207)."
Assets.Scripts.Objects/DynamicScrubber.cs::ReleaseToAtmos,bypass,yes,"NONE (only WorldAtmosphere == null -> clone, line 149-151)",accepted: an opened portable scrubber's contents are lost outdoors where no cell exists; one portable's volume,"Open scrubber: WorldAtmosphere.Add(internal) + Reset below 100 kPa, else MoveVolume 5 % of volume per tick. WorldAtmosphere may be the read-only copy (from SetWorldAtmosphere, or stored by GetFromCell): released gas is destroyed. SINK, up to the full internal mix per tick. 100 kPa threshold absolute (device side)."
Assets.Scripts.Objects/DynamicThing.cs::ApplyLiquidFlowForce,read,no,,,Reads WorldAtmosphere.GetFlowDirection for a physics push (LIQUID flow).
Assets.Scripts.Objects/DynamicThing.cs::HasAtmosphere,read,no,,,"WorldAtmosphere.IsActive(): total moles > MINIMUM_WORLD_VALID_TOTAL_MOLES (0.1 mol, absolute per 8000 L cell)."
Assets.Scripts.Objects/DynamicThing.cs::OnCollisionEnterEvent,none,no,,,"Real member is the field declaration private Atmosphere _worldAtmosphere (L97), backing store of WorldAtmosphere"
Assets.Scripts.Objects/DynamicThing.cs::OnFireTick,gated,yes,WorldAtmosphere = AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(WorldGrid) (line 2211) before OnFireConsume,,Reads WorldAtmosphere pressure against MinimumIgnitionPressurePropane (1.5 kPa absolute) and ShouldIgnite; burning consumes O2 and adds HEAT on the real cloned cell.
Assets.Scripts.Objects/DynamicThing.cs::OnThreadUpdate,read,no,,,Reads WorldAtmosphere Direction and pressure for drag and wind push; PressureFullyApplyVelocity 90 kPa absolute.
Assets.Scripts.Objects/DynamicThing.cs::PhysicsUpdate,read,no,,,"Buoyancy: reads WorldAtmosphere.LiquidVolumeRatio and the GLOBAL SEA (GlobalAtmosphereLiquid.IsUnderGlobalLiquid, GetWorldGridLiquidVolumeRatio). No gas change. | closure pass: L2093 reads _worldAtmosphere.LiquidVolumeRatio for buoyancy; global sea (GlobalAtmosphereLiquid) involved; absolute +0.075 offset"
Assets.Scripts.Objects/DynamicThing.cs::SetWorldAtmosphere,none,no,,,"WRAPPER: stores SampleGlobalAtmosphere(grid) (or crew module / parent internal / parent WorldAtmosphere) into WorldAtmosphere. This is how the read-only copy gets cached on every dynamic thing. | closure pass: L1243 declaration. Stores crew-module / parent internal, parent WorldAtmosphere, or SampleGlobalAtmosphere (may be the read-only copy) in WorldAtmosphere; never clones"
Assets.Scripts.Objects/DynamicThing.cs::Smelt,none,no,,,"Base virtual: forwards to the first slot occupant Smelt with the same atmosphere, else adds reagents; does not touch the atmosphere itself"
Assets.Scripts.Objects/DynamicThing.cs::WorldAtmosphere,none,no,,,"WRAPPER property: returns the cached sample (nulled only if IsInvalidWorld, which is always false for Mode Global). | closure pass: Getter returns _worldAtmosphere, nulling it if IsInvalidWorld (Mode World only); the Global copy is never invalidated so it persists until the next SetWorldAtmosphere"
Assets.Scripts.Objects/Entity.cs::BreathingAtmosphere,none,no,,,WRAPPER property: forwards WorldAtmosphere (virtual; subclasses may override). | closure pass: Wrapper: get/set base.WorldAtmosphere (read-only copy outdoors with no cell)
Assets.Scripts.Objects/Entity.cs::GetExteriorState,read,no,,,Reads WorldAtmosphere.Mode and Room.
Assets.Scripts.Objects/Entity.cs::IsSoiled,read,no,,,"SoilingAtmosphere => WorldAtmosphere (a WRAPPER, line 605); IsAtmosphereSoiled reads polluted-water ratio > 0.1. | closure pass: IsAtmosphereSoiled(SoilingAtmosphere) reads mole totals/ratios only"
Assets.Scripts.Objects/Entity.cs::LifeBreathe,bypass,yes,"NONE (only if (BreathingAtmosphere == null) CloneGlobalAtmosphere, line 1223-1225)",accepted: animals and NPCs outdoors breathe the copy; at most 0.005 mol of oxygen a breath. Humans breathe through a cloned cell,"For any entity whose BreathingAtmosphere is its WorldAtmosphere (base Entity: animals, NPCs, anything not overriding) outdoors with no real cell: Mix(LungAtmosphere, read-only copy) sets the lungs to the volume-weighted planet mix each tick. Free SOURCE of planet gas into the lungs and SINK of exhaled CO2 and lung contents; the TakeBreath CO2 Add to the copy is ignored. Small: <= 0.0048 mol O2 per breath plus one lung volume of exchange per tick per entity. (Decompile shows TakeBreath taking Mole structs by value, probably a lost ref.) | closure pass: Known bypass, the new lines confirm it: AtmosphereHelper.Mix(LungAtmosphere, BreathingAtmosphere) (L1241/L1245) Sets both sides; on the copy the outdoor half is ignored, so lungs are refilled from nowhere and lung CO2 vanishes: SOURCE and SINK. The formula rewrites the whole lung content every tick, but it is bounded by the 6 L lung volume (about 0.25 mol at 100 kPa) and the net flow equals metabolism: about 0.0048 mol O2 in and 0.0024 mol CO2 out per tick per unhelmeted entity outdoors. The MatterState.All branch cannot hit the copy (needs Mode World)"
Assets.Scripts.Objects/Entity.cs::TakeBreath,none,no,,,"Entity.TakeBreath() passes LungAtmosphere.GasMixture.Oxygen and BreathingAtmosphere.GasMixture.CarbonDioxide BY VALUE (Mole is a struct, parameters are not ref): Remove/AddAtTemperature act on copies, so no gas changes anywhere; only AddEnergy(EnergyReleasedPerTick) on the real lungs. Human overrides it (see Human.TakeBreath)"
Assets.Scripts.Objects/Item.cs::OnDecayServer,read,no,,,"Reads WorldAtmosphere temperature, pressure and gas ratios to scale food decay; ranges _min/_maxTemperatureDecayKelvin and _min/_maxPressureDecayKpa are absolute."
Assets.Scripts.Objects/Item.cs::Smelt,gated,yes,"if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalRemoveEnergy(WorldGrid, ...) (line 365-367) else CreateRemoveEnergy on the real atmosphere",,"HEAT: smelting removes IdealGas.Energy(reagent heat capacity, FlashPoint) from the furnace or cell; outdoors via the clone event. | closure pass: L363 declaration, L373 base.Smelt forward. Removes smelting heat IdealGas.Energy(reagent heat capacity, FlashPointTemperature) from a cloned real cell: heat, one-off per item"
Assets.Scripts.Objects/LanderCapsule.cs::OnAtmosphericTick,gated,yes,CloneGlobalAtmosphere(new WorldGrid(Position)) (line 481),,"Open lander Mix(internal, cloned outdoor cell, All) every tick."
Assets.Scripts.Objects/LargeExtendableRadiator.cs::IsHeatedByAtmosphere,read,no,,,Compares outdoor temperature with internal.
Assets.Scripts.Objects/PipeLeak.cs::IsEmitting,read,no,,,Reads outdoor pressure; leak particles when pipe > outdoor + OneAtmosphere (absolute).
Assets.Scripts.Objects/PortableAtmospherics.cs::Delete,gated,yes,"CloneGlobalAddGasMix event (line 229) -> CloneGlobalAtmosphere, when there is no sourceItem",,"Deleting a portable: internal mix to a cloned outdoor cell; if deleted by a source item the internal gas is just Reset (destroyed; device gas, not planet gas)."
Assets.Scripts.Objects/PortableAtmospherics.cs::VentAllAtmosphereToWorld,bypass,yes,"NONE (only WorldAtmosphere == null -> clone, line 119-121)","accepted: on destroying a portable outdoors where no cell exists its contents are lost instead of reaching the planet. One-off, at most a 790 L tank at 10 MPa, about 3,300 mol","OnDestroy of every PortableAtmospherics except the air conditioner (portable tanks, scrubber, etc.): MoveVolume(internal -> WorldAtmosphere, whole volume). With the read-only copy cached, the whole internal mix is destroyed: SINK, once per destroyed portable (a full portable tank can be thousands of mol)."
Assets.Scripts.Objects/RobotMining.cs::GetLogicValue,read,no,,,TemperatureExternal and PressureExternal logic reads of WorldAtmosphere.
Assets.Scripts.Objects/RobotMining.cs::HaltAndCatchFire,gated,yes,CloneGlobal event (line 355) -> CloneGlobalAtmosphere (AtmosphericEventInstance.cs:429),,"Creates a real cell at the robot with zero energy + spark, then explodes."
Assets.Scripts.Objects/SmallGrid.cs::OnFireTick,gated,yes,AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(WorldGrid) (line 185) before OnFireConsume,,Sample at 172 is only read by ShouldIgnite; burning consumes O2 and adds HEAT on a real cloned cell.
Assets.Scripts.Objects/Structure.cs::IsExposedToGlobal,read,no,,,GetWorldAtmosphere() is GetAtmosphereLocal (never the copy); reads IsGlobalAtmosphere and IsCloseToGlobal(1 kPa absolute tolerance).
Assets.Scripts.Objects/Structure.cs::OnFireTick,gated,yes,AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(WorldGrid) (line 2267) before OnFireConsume,,Sample at 2254 is only read by ShouldIgnite; burning acts on a real cloned cell.
Assets.Scripts.Objects/WeatherStation.cs::OnAtmosphericTick,read,no,,,Reads outdoor PressureGasses for turbine speed.
Assets.Scripts.Objects/WeatherStation.cs::OnThreadUpdate,read,no,,,Client: reads outdoor PressureGasses.
Assets.Scripts.Serialization/XmlSaveLoad.cs::GetWorldData,internal,no,,,Save: TerraForming.Serialize() (vegetation) and worldData.PlanetaryAtmosphere = PAS.Save() right after AllAtmospheres are collected (known D12 cache skew; the mod prefix refreshes caches).
Assets.Scripts.Serialization/XmlSaveLoad.cs::LoadWorld,internal,yes,"CloneGlobalAtmosphere(saved position, refId) (line 1107), then Atmosphere.Load overwrites the cell",,"Load: TerraForming.Deserialize, PAS.Load(worldData.PlanetaryAtmosphere, revision) (line 1069), then every saved world cell is built with CloneGlobalAtmosphere (debits the tank through the switch) and immediately Reset + overwritten by Atmosphere.Load: a per-load SINK of one cell share per saved cell (8000 L is absolute: the share is 20x larger when tank volume is x0.05). Already known as D1, fixed by the gate being off while GameState is Loading."
Assets.Scripts.Sound/AtmosphericAudioHandler.cs::ManageWindAudio,display,no,,,"Wind and storm audio from the player's WorldAtmosphere and sampled neighbours' Direction; MinimumLocalAtmosPressure 1 kPa absolute. On clients calls GetOpenAirNeighbors on the (possibly shared read-only) atmosphere: touches its neighbour list, not gas."
Assets.Scripts.Sound/GameAudioSource.cs::CalculateAndSetAtmosphericVolume,display,no,,,Audio volume = outdoor pressure / AtmosAudioVolumeThreshold (3 kPa absolute).
Assets.Scripts.Sound/ListenerEffectManager.cs::ManagerUpdate,display,no,,,Low-pass filter from the player's WorldAtmosphere.RatioOneAtmosphereClamped.
Assets.Scripts.UI.ImGuiUi/TerraformingGasCurveData.cs::Register,internal,no,,,"Data load: registers a per-gas GHG index curve into TerraForming.TerraformingGasCurves (feeds the planet temperature formula). Curves are per mmol/L, so they follow tank volume correctly."
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::Draw,display,yes,,,"Dev debug window (console command). Shows PAS temperature terms including LatentOffset and ExternalInputOffset. CAN MUTATE THE PLANET: the Global GasMix tab edits GlobalAtmosphereData.Volume and calls PAS.RegenerateGlobalFromData (replaces the tank from world data, no conservation); the key-frame editors edit the live WorldSetting temperature curves in place."
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::DrawGlobalMolesPerLiter,display,no,,,Shows tank mmol/L per gas and its GHG curve value.
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::Populate,display,no,,,"Binds graph editors to the live GlobalAtmosphereData curve objects (SolarAngle, SolarRadiation, GHG, Density offsets) and TerraformingGasCurves; edits made through them change planet temperature."
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::UpdateAggregateTemperature,display,no,,,Builds a throwaway GlobalGasMix.Create(world data) and plots GetGlobalGasMixTemperature over 181 solar angles; does not touch the live tank.
Assets.Scripts.UI/ImGuiManager.cs::RenderOverlay,display,no,,,Debug overlay: PAS.DrawOnScreenDebug and TerraForming.ImguiDebug.
Assets.Scripts.UI/PlayerStateWindow.cs::ShowGasJetpackUI,display,no,,,HUD: canister pressure minus the jetpack's WorldAtmosphere pressure.
Assets.Scripts.UI/PlayerStateWindow.cs::Update,display,no,,,HUD external pressure and temperature from Parent.WorldAtmosphere. | closure pass: Reads BreathingAtmosphere temperature/pressure for the HUD
Assets.Scripts.UI/StatusUpdates.cs::OxygenTooltip,display,no,,,Reads PartialPressureO2 for tooltip
Assets.Scripts.UI/StatusUpdates.cs::RefreshAtmosphereValues,display,no,,,Caches Parent.BreathingAtmosphere in private field StatusUpdates._atmosphere; every use in the class reads pressure/temperature/toxins
Assets.Scripts.UI/StatusUpdates.cs::StunTooltip,display,no,,,Reads PartialPressureNitrousOxide for tooltip
Assets.Scripts.Util/Achievements.cs::AchieveJetpackCritical,read,no,,,Reads outdoor pressure + 100 kPa (absolute) for an achievement test.
Assets.Scripts/AtmosphericEventInstance.cs::Apply,internal,yes,dispatch only; the CloneGlobal* cases call CloneGlobalAtmosphere,,"Event dispatcher. The non-clone cases (AddGasMixture, RemoveGasMixture, AddEnergy, RemoveEnergy, SetGasMixture on a stored _atmosphere) have no guard: a caller queuing CreateAdd / CreateRemove / CreateRemoveEnergy with a sampled read-only atmosphere would bypass. Callers must guard (the Smelt overrides do)."
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobal,gated,yes,CloneGlobalAtmosphere(_worldGrid) (line 429),,"Static queues the event; the instance method clones a real cell and AddEnergy (HEAT, optional spark)."
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalAddGas,gated,yes,CloneGlobalAtmosphere(_worldGrid) (line 439),,Clones a real cell and Adds the queued gas mixture.
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalAddGasMix,gated,no,queues the CloneGlobalAddGas event (line 259),,Static enqueue only (if RunSimulation); the work is in CloneGlobalAddGas.
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalRemoveEnergy,gated,yes,CloneGlobalAtmosphere(_worldGrid) (line 458),,Clones a real cell and RemoveEnergy (HEAT out of the cell).
Assets.Scripts/AtmosphericEventInstance.cs::DivideWorldAtmosphere,gated,yes,GetAtmosphereLocal for the source; CloneGlobalAtmosphere(neighbour).Add (line 486),,"A cell being blocked splits its gas equally over cloned open neighbours, then is removed from AllAtmospheres and Reset. With 0 open neighbours the gas is simply Reset: SINK of that cell's contents (not returned to the planet via Deregister)."
Assets.Scripts/AtmosphericEventInstance.cs::StructureReleaseGrid,gated,yes,"PAS.TakeGlobalGasMix(atmosphere.Volume) (line 423, switched), guarded by !IsInSpaceAtmosphere",,A freed grid with no real or room neighbours gets a new cell filled by TakeGlobalGasMix (debits the tank); nothing above the space line.
Assets.Scripts/AtmosphericsController.cs::Clear,internal,no,,,"MISATTRIBUTED by the census: line 158 is in the constructor AtmosphericsController(GridController): PAS.CreateGlobalAtmosphere(WorldSetting.Current.Data.GlobalAtmosphereData) for the world controller, which creates the tank. Clear() itself only destroys visualisers."
Assets.Scripts/AtmosphericsController.cs::CloneGlobalAtmosphere,gated,yes,"GetAtmosphereLocal first; a new cell -> PAS.CloneGlobalGasMix (line 309, switched) unless IsGridAwaiting",,"THE gate: returns the existing real cell, or builds one and debits the tank by cell.Volume / tank.Volume of its contents. No gas above _spaceGridHeight (1000 m). Throws on client. An awaiting grid gets an EMPTY cell (no debit)."
Assets.Scripts/AtmosphericsController.cs::HasAtmosphere,read,no,,,SampleGlobalAtmosphere(grid)?.IsActive().
Assets.Scripts/AtmosphericsController.cs::IgniteAtmosphere,gated,yes,GetAtmosphereLocal + !IsGlobalAtmosphere (line 349-350),,Adds ignition energy + spark to an existing real cell only; does nothing when no real cell exists.
Assets.Scripts/AtmosphericsController.cs::ReadonlyGlobalAtmosphere,none,no,,,"Static forwarder: returns PAS.ReadOnlyGlobal(grid), the shared read-only copy (empty space copy at/above 1000 m). Wrapper: its callers need census. | closure pass: L103 declaration: forwards PAS.ReadOnlyGlobal(new WorldGrid(grid)): always the read-only copy (or read-only space)"
Assets.Scripts/AtmosphericsController.cs::SampleGlobalAtmosphere,none,no,,,"THE sampler: GetAtmosphereLocal(grid) ?? PAS.ReadOnlyGlobal(grid); null for INVALID grid. Returns real cell, crew-module internal, or the read-only copy. Wrapper, no mutation itself."
Assets.Scripts/ContactSlotData.cs::IsValid,read,no,,,"PlaneCondition: plane-type trader shuttles only valid if PAS.GlobalPressure >= 1 kPa. Absolute threshold on planet pressure (intensive, independent of tank volume)."
Assets.Scripts/FragmentHandler.cs::ReadStateImmediate,none,no,,,"Calls TerraForming.Deserialize(reader), which has an empty body. Planet is not networked."
Assets.Scripts/FragmentHandler.cs::WriteStateImmediate,none,no,,,"Calls TerraForming.Serialize(writer), empty body. Planet is not networked."
Assets.Scripts/GameManager.cs::ClearGameAll,internal,no,,,"Teardown: TerraForming.Clear (plant counts), PAS.Clear (nulls tank, clouds, caps, zeroes Latent and ExternalInput energy counters), GlobalAtmosphereLiquid.Clear (sea height -1000)."
Assets.Scripts/GameManager.cs::GameTick,internal,no,,,"Host tick driver: TerraForming.UpdateGlobalVegetation (only sets a clutter-refresh flag), GlobalAtmosphereLiquid.UpdateLiquid (sea height, runs even when !RunSimulation), PAS.TickPlanetarySimulation under RunSimulation (phase change, rain/snow scheduling, read-only rebuild, temperature cache)."
Assets.Scripts/GlobalGasMix.cs::(type),internal,no,,,Tank type: 28 private mole quantities + Volume (private set: ctor or Load). Static GlobalTemperatureStateChangeOffset = 2 K absolute hysteresis for all planet phase change. _added/_removed debug counters.
Assets.Scripts/GlobalGasMix.cs::Add,internal,yes,"NONE (operates on tank objects, not cells)",,Adds another GlobalGasMix into this one by matter state; used by TickPlanetarySimulation to tip full cloud buckets back into the tank (liquid+gas).
Assets.Scripts/GlobalGasMix.cs::AddGas,internal,yes,NONE (tank object),,Private: sums 13 gas fields from other mix. Bookkeeping.
Assets.Scripts/GlobalGasMix.cs::AddLiquid,internal,yes,NONE (tank object),,Private: sums 15 liquid fields from other mix. Liquids: how rain/snow bucket contents land in the tank as liquid (global sea).
Assets.Scripts/GlobalGasMix.cs::Create,internal,no,,,"Builds a tank from world XML: Volume = data.GetVolume() (default 4e10 L), each gas = per-cell Quantity * Volume/8000. Initial moles scale with Volume, so density is volume-invariant."
Assets.Scripts/GlobalGasMix.cs::FreezeMoleQuantity,internal,yes,NONE (tank object),,Moves up to max moles of a gas/liquid from this mix to output (ice clouds or ice caps) when planet temperature < freezing + 2 K (GlobalTemperatureStateChangeOffset); returns latent energy for LatentEnergyOffset. Temperature from GetGlobalGasMixTemperature on THIS mix. Helium excluded (CanFreeze).
Assets.Scripts/GlobalGasMix.cs::GetGlobalGasMixTemperature,read,no,,,"Planet temperature formula: solar-angle base + running WeatherEvent.TemperatureOffset + solar distance + GHG (TerraForming.GetGhgIndex, mmol/L) + density (mmol/L over full Volume, liquid volume NOT subtracted) + latent/heatCap + ExternalInput/heatCap. Reads both energy counters via PAS getters. Heat capacity is whole-planet (tank+clouds+caps), so the same joules give 20x the kelvin at 0.05 volume."
Assets.Scripts/GlobalGasMix.cs::MeltMoleQuantity,internal,yes,NONE (tank object),,Melts up to max moles from this mix (ice caps) into output (tank) via Mole.MeltGlobalLiquidMoles with 2 K offset; temperature evaluated on the caps mix itself (no gas => GHG/density read the vacuum end). Returns latent energy.
Assets.Scripts/GlobalGasMix.cs::MixGasses,internal,yes,NONE (tank object),,Equalises gas between two GlobalGasMix by gas volume. No callers anywhere in the decompile (dead code).
Assets.Scripts/GlobalGasMix.cs::MoveLiquids,internal,yes,NONE (tank object),,Moves all liquid to target mix. No callers anywhere in the decompile (dead code).
Assets.Scripts/GlobalGasMix.cs::StateChangeMoleQuantity,internal,yes,NONE (tank object),,Condenses tank gas into output (liquid clouds) via Mole.ChangeState at planet total pressure computed over VolumeForGas (Volume minus liquid volume) with 2 K offset; skipped if temp < freezing+2 K. Returns latent energy. Liquids and latent heat.
Assets.Scripts/GlobalGasMix.cs::TryEvaporateGroundLiquid,internal,yes,NONE (tank object),,Evaporates tank liquid into tank gas (output is the same tank) via ChangeState; re-evaluates temperature after the move and reverts if now below freezing+2 K. Returns latent energy. Global sea -> air.
Assets.Scripts/GlobalGasMixSaveData.cs::Create,internal,no,,,"Save DTO built from a tank: copies Volume and all 28 quantities. NOTE Volume is saved and GlobalGasMix.Load restores it, so an existing save keeps its old tank volume regardless of world XML."
Assets.Scripts/NetworkClient.cs::ProcessJoinData,none,no,,,Calls TerraForming.DeserializeOnJoin(reader): empty body. Client gets no planet state on join.
Assets.Scripts/NetworkServer.cs::PackageJoinData,none,no,,,Calls TerraForming.SerializeOnJoin(writer): empty body.
Assets.Scripts/OcclusionManager.cs::(type),read,no,,,"Inside delegate OcclusionDynamicThingAction (line 155): on grid change calls dynamicThing.SetWorldAtmosphere() (re-samples) and moves the thing between old/new WorldAtmosphere.AllDynamicThings lists. No gas/energy change, BUT it Adds/Removes things on the shared read-only copy's AllDynamicThings list when outdoors without a cell (shared list pollution, not gas). | closure pass: L206/L214 call dynamicThing.SetWorldAtmosphere() after moving the thing grid (refreshes the cached sample, no gas); L257 stores AtmosphericsController.HasAtmosphere(grid) bool in structure.HasAtmosphere"
Assets.Scripts/OrbitalViewController.cs::SampleWorldAtmosphere,display,no,,,"Every 5 s reads ReadOnlyGlobal(0,0,0) and PAS.GlobalPressure to derive orbital-view atmosphere density (pow(P/100 kPa, 0.4)) and colour from gas mix. Read only."
Assets.Scripts/PlanetaryAtmosphereSaveData.cs::(type),internal,no,,,"Save DTO: GlobalGasMix, LiquidClouds, IceClouds, IceCaps, LatentEnergyOffset, EnergyOffset (ExternalInput)."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::(type),internal,no,,,"Static planet state: tank, liquid clouds, ice clouds (100,000 L each), ice caps (1e7 L), LatentEnergyOffset, ExternalInputEnergyOffset, SpaceHeight 1000, MELT/FREEZE ratios and minimum quantities, IsGlobalInteraction => false. All reservoir volumes and minimum rates are absolute."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::AddEnergy,gated,yes,IsGlobalInteraction switch (line 170),,Switched site: ExternalInputEnergyOffset += energy (positive only) under lock. Heat counter.
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CacheTemperatureCurveOffsets,internal,no,,,"Per tick caches each temperature term (solar angle, weather TemperatureOffset, solar distance, GHG, density, latent, external) and AggregateTemperature for debug/UI. Reads tank and both energy counters; writes only cached display statics."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Clear,internal,no,,,"Nulls tank/clouds/caps, zeroes LatentEnergyOffset and ExternalInputEnergyOffset, clears cached temps. Note _readOnlyGlobal is not nulled."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CloneGlobalGasMix,gated,yes,IsGlobalInteraction switch (line 104); early return at/above space height (line 96),,"Switched site: sets target cell gas = tank gas * (cell.Volume/tank.Volume) and, if switched on, removes that from the tank. Gas only (ToInstancedGasMixture is MatterState.Gas): tank liquid is never cloned into cells. Scales by full Volume not VolumeForGas. Space cells get nothing."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CondenseGlobalGasToLiquidClouds,internal,yes,NONE (tank bookkeeping),,"For each gas type: tank.StateChangeMoleQuantity into _liquidClouds, latent heat added to LatentEnergyOffset. 10%/tick per Mole.ChangeState. Cloud bucket 100,000 L absolute."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CreateGlobalAtmosphere,internal,yes,NONE (creates planet),,"Builds tank from world data, clouds 100,000 L x2, ice caps 1e7 L (absolute constants), read-only space copy (empty, Mode Global) and read-only global 8000 L copy (Mode Global, SetReadOnly). Initial copy is scaled by GridVolume/VolumeForGas() whereas the per-tick rebuild uses /Volume (inconsistent; only matters with liquid in the tank)."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::EvaporateGlobalLiquid,internal,yes,NONE (tank bookkeeping),,"For each liquid type: tank.TryEvaporateGroundLiquid(tank), latent to LatentEnergyOffset. Global sea evaporation."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::FreezeGlobalGasToIceClouds,internal,yes,NONE (tank bookkeeping),,For each gas: tank.FreezeMoleQuantity into _iceClouds with MoleQuantity.MaxValue: the WHOLE gas freezes out in one tick when below freezing+2 K. Latent to LatentEnergyOffset.
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::FreezeGlobalLiquidToIceCaps,internal,yes,NONE (tank bookkeeping),,"For each liquid: freeze into _iceCaps at max(3000 mol, 4.17e-5 of tank liquid) per tick. The 3000 mol floor is ABSOLUTE: 20x faster per cell at 0.05 volume."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetExternalInputEnergyOffset,read,no,,,"Returns ExternalInputEnergyOffset / total planet heat capacity (tank+clouds+caps) as K; zero in GameState.None. Heat capacity scales with tank volume, so the same joules give 20x the kelvin at 0.05 volume."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetGlobalGasMix,none,no,,,Returns the live tank object (_globalGasMix) to any caller: exposes Add/Remove/Set on the tank outside the lock. Wrapper: callers need census.
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetLatentTemperatureOffset,read,no,,,LatentEnergyOffset / planet heat capacity as K; zero in GameState.None.
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GiveToGlobal,gated,yes,IsGlobalInteraction switch (line 156),,Switched site: tank.Add(mix) and ExternalInputEnergyOffset += heatCapacity*(mix T - planet T). Discards everything when the switch is off. Heat counter; whatever liquid the mixture carries goes to the tank too.
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::IsInSpaceAtmosphere,read,no,,,"grid.y >= SpaceHeight*10 (1000 m, absolute). Pure geometry."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Load,internal,yes,NONE (load),,"Restores tank, caps, clouds (each including its saved Volume) and both energy counters; skipped entirely for saves older than 26973 or null data. Saved Volume overrides world XML volume."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::MeltIceCapsToGlobal,internal,yes,NONE (tank bookkeeping),,"For each liquid type: caps.MeltMoleQuantity into tank at max(1000 mol, 1.39e-5 of caps) per tick; the 1000 mol floor is ABSOLUTE. Temperature evaluated on the caps mix. Latent to LatentEnergyOffset."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::ReadOnlyGlobal,none,no,,,Returns _readOnlySpace (empty) at/above 1000 m else _readOnlyGlobal. The read-only source itself. Wrapper.
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::RegenerateGlobalFromData,internal,yes,NONE (rebuild),,"Replaces the tank from world data and resets the read-only copy (scaled by VolumeForGas). Discards current tank contents; clouds, caps and energy counters untouched. Its callers are not in this worklist."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::RemoveEnergy,gated,yes,IsGlobalInteraction switch (line 182),,"Switched site: ExternalInputEnergyOffset -= energy (positive only). Heat counter; no floor, can go negative without limit."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Save,internal,no,,,"Serialises tank, clouds, caps and both energy counters to PlanetaryAtmosphereSaveData."
Assets.Scripts/SpawnData.cs::(type),none,no,,,Name collision: XML element constant 'WorldAtmosphere' and List<WorldAtmosphereSpawnData> for scenario spawn data.
Assets.Scripts/SpawnData.cs::Add,none,no,,,Name collision: writes WorldAtmosphereSpawnData children to XML (editor export).
Assets.Scripts/TraderContact.cs::EnvironmentRequirementMet,read,no,,,"Samples air at landing pad; checks pressure in safe band, 0-50 C, toxins, O2 (or methane for Zrilian) partial pressure. Read only. No null check on the sample."
