site,client,reads,effect,evidence
Assets.Scripts.Objects/LargeExtendableRadiator.cs::IsHeatedByAtmosphere,server-only,n/a,none,"only via SolarRadiationModulator -> RadiationFactor (LargeExtendableRadiator.cs:22, :50); RadiationFactor readers: Atmosphere.ReactWithCell :2342 (AtmosphereJob <- InternalReactionsTask <- GameManager.cs:783 RunSimulation) and CalculateThingEntropy (ReactWithCell, PipeRadiator.OnAtmosphericTick); Stationpedia reads the prefab, which returns at :50 before the call"
Assets.Scripts.Objects/PipeLeak.cs::IsEmitting,both,mixed,pipe leak particles and leak sound start or stop against shipped planet pressure where the leak's grid has no cell (threshold: pipe above outside + 1 atm),"PipeLeak.Emit :156 <- AtmosphericsManager.FixedUpdate :584 (needs local player, no RunSimulation guard); SampleGlobalAtmosphere PipeLeak.cs:128"
Assets.Scripts.Objects/PortableAtmospherics.cs::Delete,server-only,n/a,none,"planet part: CloneGlobalAddGasMix and Reset enqueue only if RunSimulation (AtmosphericEventInstance.cs:261, :245); Thing.Delete destroy path guarded (Thing.cs:5076)"
Assets.Scripts.Objects/PortableAtmospherics.cs::VentAllAtmosphereToWorld,both,mixed,none planet-visible: client-local move into its copy of a synced cell (host result arrives by cell sync) or dropped by its read-only planet copy; if WorldAtmosphere is null the CloneGlobalAtmosphere call throws on the client,Unity OnDestroy PortableAtmospherics.cs:104-111 when GameState != None (runs on clients); CloneGlobalAtmosphere throws on client AtmosphericsController.cs:291-294
Assets.Scripts.Objects/RobotMining.cs::GetLogicValue,server-only,n/a,none,"readers of arbitrary ILogicable values are logic stack / IC / LogicReader.Calculate (server, GameManager.cs:797 under RunSimulation); client-side readers: ConfigCartridge scans only Device (ConfigCartridge.cs:30-35; RobotMining is WheeledBase:DraggableThing, not Device), Labeller and ThingSpawnData read Setting* only"
Assets.Scripts.Objects/RobotMining.cs::HaltAndCatchFire,server-only,n/a,none,RobotMining.cs:342 if(!RunSimulation) return
Assets.Scripts.Objects/SmallGrid.cs::OnFireTick,server-only,n/a,none,sole caller AtmosphericsWorker.cs:351 <- RunThingFireTickJobs <- GameManager.cs:764 under RunSimulation :752
Assets.Scripts.Objects/Structure.cs::IsExposedToGlobal,server-only,n/a,none,only callers SolarRadiators.cs:23/:28 (DamageSolarRadiators) <- GameManager.cs:742 under if(RunSimulation) :739
Assets.Scripts.Objects/Structure.cs::OnFireTick,server-only,n/a,none,sole caller AtmosphericsWorker.cs:351 <- RunThingFireTickJobs <- GameManager.cs:764 under RunSimulation :752
Assets.Scripts.Objects/WeatherStation.cs::OnAtmosphericTick,server-only,n/a,none (client computes its own value in OnThreadUpdate),GameManager.cs:777 if(RunSimulation) -> ThingAtmosphereTick -> AtmosphericsManager.cs:95
Assets.Scripts.Objects/WeatherStation.cs::OnThreadUpdate,client,mixed,weather station turbine spin speed scales with shipped planet pressure (clamped at 2 kPa) where the station has no cell,WeatherStation.cs:124 if(!RunSimulation); OcclusionManager.cs:264 ThreadedStructureWorkSync; used by GetTurbineSpeed :164-166 via UpdateEachFrame :110
Assets.Scripts.Serialization/XmlSaveLoad.cs::GetWorldData,server-only,n/a,none,"only caller SaveHelper.Save :263; save UI hidden for clients (InGameMenu.cs:70, ExitGamePopup.cs:21), autosave !IsClient (StationAutoSave.cs:53), console save CannotAsClient (FileCommand.cs:55); F5 quicksave (KeyManager.cs:148) is unguarded but fails at SaveHelper.cs:122 on the null CurrentStationName a joined client has (XmlSaveLoad.ClearAll :634 on leaving a game); joining without leaving a local world not traced"
Assets.Scripts.Serialization/XmlSaveLoad.cs::LoadWorld,server-only,n/a,none,"sole caller LoadHelper.LoadWorldTask :197 <- LoadGameTask (local save load); a client joins via NetworkClient.cs:267-269 and WorldManager.DeserializeOnJoin, never LoadWorld"
Assets.Scripts.Sound/AtmosphericAudioHandler.cs::ManageWindAudio,both,mixed,"wind and storm sounds cut when the air where the player stands reads below 1 kPa: with no cell this is the shipped planet, so they can be silent on a thick terraformed host planet or play on a host planet below 1 kPa","WindAudioUpdate loop AtmosphericAudioHandler.cs:189-196 (every 33 ms, no guard); InventoryManager.Parent.WorldAtmosphere :216-217; neighbour SampleGlobalAtmosphere :253; weather from synced WeatherManager :229"
Assets.Scripts.Sound/GameAudioSource.cs::CalculateAndSetAtmosphericVolume,both,mixed,outdoor sound volume = pressure / 3 kPa taken from the shipped planet where the source's grid has no cell (wrongly muffled or full when either planet is below 3 kPa),"AudioManager.cs:258 and GameAudioSource.cs:748/:1079 (audio, all machines); SampleGlobalAtmosphere :986/:990"
Assets.Scripts.Sound/ListenerEffectManager.cs::ManagerUpdate,both,mixed,outdoor low-pass muffling from shipped planet pressure / 1 atm where the player stands with no cell,per-frame ManagerUpdate ListenerEffectManager.cs:146; Parent.WorldAtmosphere.RatioOneAtmosphereClamped :173
Assets.Scripts.UI.ImGuiUi/TerraformingGasCurveData.cs::Register,both,none,none (same XML curve data on every machine),WorldManager.cs:1212-1214 data load -> Init :24 -> Register
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::Draw,both,own-planet,dev window shows the client's own shipped tank and temperature terms; its regenerate and curve edits change only the client's own tank and formula,"ImGuiManager.RenderOverlay :196-198 <- LateUpdate; opened by console worldsettingwindow, Scope InGame only (no HostOrSinglePlayer, CommandBase.cs:38), so usable by clients; PAS reads :138-236"
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::DrawGlobalMolesPerLiter,both,own-planet,dev window shows the client's own shipped tank mmol/L per gas,Draw :236-242 PAS.GetGlobalGasMix()
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::Populate,both,none,dev only: binds shipped world curves (same data on host and client); edits change only the client's own formula,Draw :112 Populate button; WorldSetting.Current.Data :301
Assets.Scripts.UI.ImGuiUi/WorldSettingToolsImguiWindow.cs::UpdateAggregateTemperature,both,none,"none (plots a throwaway GlobalGasMix.Create from shipped data, identical on host and client)","Populate :318, Draw :214; WorldSettingToolsImguiWindow.cs:323"
Assets.Scripts.UI/ImGuiManager.cs::RenderOverlay,both,own-planet,console-toggled debug overlays (atmosphere global) show the client's own shipped tank,"ImGuiManager.LateUpdate :160-166; PAS.DrawOnScreenDebug gated by DrawGlobalDebug, toggled by AtmosphereCommands.cs:52 (Scope InGame)"
Assets.Scripts.UI/PlayerStateWindow.cs::ShowGasJetpackUI,both,mixed,jetpack pressure-delta readout and low-propellant icon use shipped planet pressure where no cell exists,PlayerStateWindow.UpdateJetpackPanels :518 <- per-frame UI Update; jetpack.WorldAtmosphere :544
Assets.Scripts.UI/PlayerStateWindow.cs::Update,both,mixed,helmet HUD outside pressure and temperature (and the internal readouts with helmet open) show the shipped planet where no cell exists,"per-frame UI; Parent.WorldAtmosphere PlayerStateWindow.cs:398-410, BreathingAtmosphere :414-424"
Assets.Scripts.UI/StatusUpdates.cs::OxygenTooltip,both,mixed,O2 status tooltip shows shipped planet O2 partial pressure when breathing outside air with no cell,registered StatusUpdates.cs:404/:426 (UI); BreathingAtmosphere.PartialPressureO2 :2018
Assets.Scripts.UI/StatusUpdates.cs::RefreshAtmosphereValues,both,mixed,"HUD pressure, temperature and toxin warnings while breathing outside air are judged on the shipped planet where no cell exists",AtmosphericsManager.ProcessAtmospheresClient :477 (client) and LifeTicksTick :752-754 (host); Parent.BreathingAtmosphere StatusUpdates.cs:1699
Assets.Scripts.UI/StatusUpdates.cs::StunTooltip,both,mixed,stun tooltip N2O partial pressure from the shipped planet when breathing outside air with no cell,registered StatusUpdates.cs:418/:450 (UI); BreathingAtmosphere.PartialPressureNitrousOxide :2164
Assets.Scripts.Util/Achievements.cs::AchieveJetpackCritical,server-only,n/a,none (host evaluates and forwards the achievement),sole caller Jetpack.OnAtmosphericTick :630 <- ThingAtmosphereTick (GameManager.cs:787 under RunSimulation :777); forwarded Achievements.cs:843
Assets.Scripts/AtmosphericEventInstance.cs::Apply,server-only,n/a,none,"every enqueuer guarded if(RunSimulation) (AtmosphericEventInstance.cs:171-294, ctors private); queue drained only by HandleNetworkChangedEvents <- AtmosphericsController.HandleMainThreadEvents <- GameManager.cs:754 (RunSimulation :752) and SaveHelper.PreSaveCleanup :243"
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobal,server-only,n/a,none,"static enqueue guarded AtmosphericEventInstance.cs:253; instance method only via Apply (drained under RunSimulation, GameManager.cs:754)"
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalAddGas,server-only,n/a,none,only via Apply :358; enqueued only by CloneGlobalAddGasMix under RunSimulation :261
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalAddGasMix,server-only,n/a,none,AtmosphericEventInstance.cs:261 if(RunSimulation)
Assets.Scripts/AtmosphericEventInstance.cs::CloneGlobalRemoveEnergy,server-only,n/a,none,static enqueue guarded :269; instance method only via Apply (GameManager.cs:754 under RunSimulation)
Assets.Scripts/AtmosphericEventInstance.cs::DivideWorldAtmosphere,server-only,n/a,none,only via Apply :364; enqueued only by StructureBlockingGrid under RunSimulation :277
Assets.Scripts/AtmosphericEventInstance.cs::StructureReleaseGrid,server-only,n/a,none,static enqueue guarded :291; instance method only via Apply :367
Assets.Scripts/AtmosphericsController.cs::Clear,both,none,none from this site (the client's shipped tank is built by WorldManager.InitializeWorldEnvironment :1673),Clear() only destroys visualisers :108-122; the ctor's IsWorld branch :156-158 is dead for the world controller because GridController.cs:148-150 sets IsWorld in an object initializer after the ctor ran; client tank: WorldManager.DeserializeOnJoin :1953 -> InitializeWorldEnvironment :1673 -> PAS.CreateGlobalAtmosphere
Assets.Scripts/AtmosphericsController.cs::CloneGlobalAtmosphere,server-only,n/a,none,AtmosphericsController.cs:291-294 if(NetworkManager.IsClient) throw
Assets.Scripts/AtmosphericsController.cs::HasAtmosphere,both,mixed,structure audio mixer group (in air vs vacuum) set from shipped planet where no cell exists; differs only if one planet is below 0.1 mol per cell,OcclusionManager.cs:257 ThreadedStructureWorkSync (runs on clients) -> Structure.HasAtmosphere setter Thing.cs:1037-1056 -> OnAtmosphereGain/Lost -> SetSoundMixerGroup; the only reader
Assets.Scripts/AtmosphericsController.cs::IgniteAtmosphere,both,synced-cell,none,"callers Igniter.OnAnimationStop :23, ApplianceReagentImportBase :156, SimpleFabricatorBase :854 can run on clients, but it only touches a real cell (GetAtmosphereLocal, :349-350) and CreateAddEnergy enqueues only if RunSimulation (AtmosphericEventInstance.cs:173)"
Assets.Scripts/ContactSlotData.cs::IsValid,server-only,n/a,none,"PlaneCondition.IsValid :83 reached only via ContactSlot.TryGenerateNewContact :133; callers ContactManager.CheckContactLifeTime :78 and TraderContact.InitializeAll :524, started only from World.NewAsync :72 and XmlSaveLoad.LoadWorld :903/:1118 (host paths; client join TraderContact.DeserializeOnJoin :750 starts neither); trader command is HostOrSinglePlayer (TraderCommand.cs:47)"
Assets.Scripts/GameManager.cs::ClearGameAll,both,own-planet,none (teardown; PAS.Clear nulls the client's own tank),"WaitingCloseThreads GameManager.cs:1041 <- LeaveGame, also on client disconnect (NetworkClient.cs:163)"
Assets.Scripts/GameManager.cs::GameTick,both,own-planet,"client's global sea height and visibility follow its own shipped tank, not the host's sea (PAS tick in this driver is host-only; the client ticks its tank in ProcessAtmospheresClient)",started by WorldManager.StartWorld :1530 <- NetworkClient.cs:268; GlobalAtmosphereLiquid.UpdateLiquid at GameManager.cs:746 outside RunSimulation; reads PAS.LiquidVolume / LiquidVolumeRatio (GlobalAtmosphereLiquid.cs:27-28) cached by the client's own TickPlanetarySimulation
Assets.Scripts/GlobalGasMix.cs::(type),both,own-planet,"the client holds its own tank instance built from shipped data; every own-planet read (planet copy, temperature, sea) derives from it",PAS.CreateGlobalAtmosphere :199 <- WorldManager.InitializeWorldEnvironment :1673 <- WorldManager.DeserializeOnJoin :1953
Assets.Scripts/GlobalGasMix.cs::Add,both,own-planet,client's own tank tips full cloud buckets back into itself; the same block also calls WeatherManager.ScheduleWeatherEvent locally (unguarded; CurrentWeatherEvent is overwritten by WeatherManager.DeserialiseDeltaState; local WeatherState side effects not traced),PAS.TickPlanetarySimulation :339/:358 (schedule :341/:360) <- AtmosphericsManager.ProcessAtmospheresClient :472
Assets.Scripts/GlobalGasMix.cs::AddGas,both,own-planet,part of the cloud tip into the client's own tank,"private, only from Add GlobalGasMix.cs:167/:171"
Assets.Scripts/GlobalGasMix.cs::AddLiquid,both,own-planet,"cloud tip lands as liquid in the client's own tank, feeding its own sea height","private, only from Add GlobalGasMix.cs:164/:170"
Assets.Scripts/GlobalGasMix.cs::Create,both,own-planet,client's tank is the shipped world data; the host's terraformed tank never reaches it without the mod,"PAS.CreateGlobalAtmosphere :199 <- WorldManager.InitializeWorldEnvironment :1673 <- DeserializeOnJoin :1953; also NewWorldSummary.cs:61, ValueRange.cs:38 (menus)"
Assets.Scripts/GlobalGasMix.cs::FreezeMoleQuantity,both,own-planet,"client's own tank freezes gas and liquid out on its own schedule, so its planet copy (pressure, composition) and latent offset diverge from the host",PAS.HandleGlobalStateChange :448/:484 <- TickPlanetarySimulation :334 <- AtmosphericsManager.ProcessAtmospheresClient :472
Assets.Scripts/GlobalGasMix.cs::GetGlobalGasMixTemperature,both,own-planet,"outdoor temperature where no cell exists (HUD, warnings, device checks) is the shipped formula on the client's own tank, not the host's temperature","GasMixtureHelper.cs:56 sets the planet copy's energy from it on every client TickPlanetarySimulation (ToInstancedGasMixture, GlobalGasMix.cs:156) <- ProcessAtmospheresClient :472; also Freeze/Melt/StateChange GlobalGasMix.cs:688-775"
Assets.Scripts/GlobalGasMix.cs::MeltMoleQuantity,both,own-planet,client's own ice caps melt back into its own tank on their own schedule,PAS.HandleGlobalStateChange :472 <- TickPlanetarySimulation :334 <- ProcessAtmospheresClient :472
Assets.Scripts/GlobalGasMix.cs::MixGasses,unreachable,n/a,none,no callers: definition only GlobalGasMix.cs:838
Assets.Scripts/GlobalGasMix.cs::MoveLiquids,unreachable,n/a,none,no callers: definition only GlobalGasMix.cs:848
Assets.Scripts/GlobalGasMix.cs::StateChangeMoleQuantity,both,own-planet,client's own tank condenses gas into its own liquid clouds (feeds the cloud tip in Add),PAS.HandleGlobalStateChange :460 <- TickPlanetarySimulation :334 <- ProcessAtmospheresClient :472
Assets.Scripts/GlobalGasMix.cs::TryEvaporateGroundLiquid,both,own-planet,client evaporates its own tank liquid by its own temperature; host sea/evaporation not reflected; changes only client's own tank and read-only copy,PAS.cs:496 EvaporateGlobalLiquid <- :436 HandleGlobalStateChange <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/GlobalGasMixSaveData.cs::Create,server-only,n/a,none (tank never serialised to clients),"only caller PAS.Save (PAS.cs:234-237) <- XmlSaveLoad.cs:729 GetWorldData <- SaveHelper.cs:263; client save UI hidden InGameMenu.cs:71, autosave !IsClient StationAutoSave.cs:53, console save CannotAsClient FileCommand.cs:55 / SaveCommand.cs:19 HostOrSinglePlayer; F5 (KeyManager.cs:148) fails on a joined client: CurrentStationName null (set only by local load/new game, cleared XmlSaveLoad.cs:634) -> SaveHelper.cs:122 fail"
Assets.Scripts/OcclusionManager.cs::(type),both,mixed,"outdoors where no cell exists every thing's cached WorldAtmosphere (helmet HUD pressure/temp, reverb, drill, OnAtmosphereGain/Lost) and structure.HasAtmosphere come from the client's shipped-planet copy",OcclusionManager.cs:620 ThreadedWork (unguarded) -> :666 OcclusionDynamicThingAction -> :206/:214 SetWorldAtmosphere -> AtmosphericsController.cs:321 SampleGlobalAtmosphere; :257 HasAtmosphere; PlayerStateWindow.cs:398/403
Assets.Scripts/OrbitalViewController.cs::SampleWorldAtmosphere,both,own-planet,"orbital-view atmosphere haze density and colour come from the client's shipped air and pressure, not the host's terraformed air","GameManager.cs:1506 Update (per frame, !BatchMode) -> OrbitalViewController.Update -> :312 UpdateAtmosphereLayer -> :401-402 ReadOnlyGlobal / GlobalPressure"
Assets.Scripts/PlanetaryAtmosphereSaveData.cs::(type),server-only,n/a,none,used only by PAS.Save/Load via XmlSaveLoad.cs:187/729/1069 (host save file); not a network message
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::(type),both,own-planet,"client keeps its own tank, clouds, caps and energy counters built from shipped data; IsGlobalInteraction false so nothing the host does reaches it; source of every client planet readout",PAS.cs:19-73 statics; built on client WorldManager.cs:1953 DeserializeOnJoin -> :1673 CreateGlobalAtmosphere; ticked AtmosphericsManager.cs:472
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::AddEnergy,server-only,n/a,none (also no-op without mod: PAS.cs:170),"callers Atmosphere.cs:2298 ReactWithCell and AtmosphereHelper.cs:526 DoEntropy (<- ReactWithCell Atmosphere.cs:2347-2398, PipeRadiator.cs:55 OnAtmosphericTick); ReactWithCell <- AtmosphericsController.cs:259 AtmosphereJob <- InternalReactions GameManager.cs:783 (RunSimulation); Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)"
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CacheTemperatureCurveOffsets,both,own-planet,"cached terms describe the client's own planet; read only by the dev ImGui world-setting window (WorldSettingToolsImguiWindow.cs:186-204), so nothing a player normally sees",PAS.cs:368 <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Clear,both,none,none (world unload),"GameManager.cs:1126 ClearGameAll <- :1041 WaitingCloseThreads (leaving a game, any machine)"
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CloneGlobalGasMix,server-only,n/a,none,only caller AtmosphericsController.cs:309 CloneGlobalAtmosphere; CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CondenseGlobalGasToLiquidClouds,both,own-planet,client's own air condenses into its own liquid clouds by its own temperature; changes the client's read-only copy (HUD where no cell); a full cloud bucket makes the client's own tick call weather functions (PAS.cs:335-347),PAS.cs:437 HandleGlobalStateChange <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CreateGlobalAtmosphere,both,own-planet,on join the client builds its own tank from shipped world data; root of every client divergence (the host's tank never reaches an unmodded client),WorldManager.cs:1953 DeserializeOnJoin -> InitializeWorldEnvironment -> :1673; also AtmosphericsController.cs:158
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::EvaporateGlobalLiquid,both,own-planet,client's own sea (liquid in its own tank) evaporates into its own air; host sea evaporation not reflected,PAS.cs:436 HandleGlobalStateChange <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::FreezeGlobalGasToIceClouds,both,own-planet,"whole gases leave the client's own air when its own formula drops below freezing+2 K, independent of the host's air; client read-only copy (HUD where no cell) diverges",PAS.cs:438 HandleGlobalStateChange <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::FreezeGlobalLiquidToIceCaps,both,own-planet,client's own tank liquid freezes into its own caps; affects only the client's own tank and sea,PAS.cs:435 HandleGlobalStateChange <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetExternalInputEnergyOffset,both,own-planet,"client counter stays 0 (only Load/AddEnergy/GiveToGlobal/RemoveEnergy write it; none act on an unmodded client), so the host's external-heat term is missing from client temperature where no cell exists",GlobalGasMix.cs:562 formula <- GasMixtureHelper.cs:56 <- GlobalGasMix.cs:156 <- PAS.cs:363 read-only rebuild (client via AtmosphericsManager.cs:472); PAS.cs:408
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetLatentTemperatureOffset,both,own-planet,"client's latent term comes from its own phase changes since join, not the host's saved or accumulated latent energy",GlobalGasMix.cs:561 formula (client via PAS.cs:363 read-only rebuild); PAS.cs:407
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GiveToGlobal,both,none,none: returns at PAS.cs:156 on an unmodded client,client: AtmosphericsManager.cs:882 DeserialiseDeltaState AllAtmospheres.Remove -> DensePool.cs:153 -> Atmosphere.cs:3121 OnRemoveFromPool -> AtmosphericsManager.cs:391 Deregister; host also Atmosphere.cs:1716/1785 MixInWorld
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::IsInSpaceAtmosphere,both,none,none (pure geometry),PAS.cs:87 ReadOnlyGlobal <- AtmosphericsController.cs:321 SampleGlobalAtmosphere (clients)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Load,server-only,n/a,none (clients never load the planet),XmlSaveLoad.cs:1069 LoadWorld <- LoadHelper.cs:197 LoadGameTask (local save load only); clients join via DeserializeOnJoin
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::MeltIceCapsToGlobal,both,own-planet,"client's own caps (empty at join, filled only by its own freezing) melt into its own tank; host caps not seen",PAS.cs:434 HandleGlobalStateChange <- PAS.cs:334 TickPlanetarySimulation <- AtmosphericsManager.cs:472 ProcessAtmospheresClient (client) / GameManager.cs:760 (host)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::RegenerateGlobalFromData,unreachable,own-planet,"dev tooling only: WIP world-setting ImGui window Apply button (console worldsetting, Scope InGame); on a client it would reset only the client's own tank",only caller WorldSettingToolsImguiWindow.cs:230 <- ImGuiManager.cs:196-198 <- WorldSettingWindowCommand.cs:24
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::RemoveEnergy,server-only,n/a,none (also no-op without mod: PAS.cs:182),only caller Atmosphere.cs:2294 ReactWithCell <- AtmosphericsController.cs:259 AtmosphereJob <- InternalReactions GameManager.cs:783 (RunSimulation)
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Save,server-only,n/a,none,"XmlSaveLoad.cs:729 GetWorldData <- SaveHelper.cs:263; client save UI hidden InGameMenu.cs:71, autosave !IsClient StationAutoSave.cs:53, console save CannotAsClient FileCommand.cs:55 / SaveCommand.cs:19 HostOrSinglePlayer; F5 (KeyManager.cs:148) fails on a joined client: CurrentStationName null (set only by local load/new game, cleared XmlSaveLoad.cs:634) -> SaveHelper.cs:122 fail"
Assets.Scripts/TraderContact.cs::EnvironmentRequirementMet,server-only,n/a,none on client; host opens/closes trader doors from host air,only caller LandingPadCenter.cs:834 CheckContactEnvironmentRequirements <- :858 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
AtmosphericScattering.cs::ManagerUpdate,both,none,client sky/fog stays the shipped world's static scattering (global branch off) while the host's sky follows the terraformed air,"GameManager.cs:1547 ManagerUpdate per frame; AtmosphericScattering.cs:344 if (PAS.IsGlobalInteraction), false on unmodded client (PAS.cs:63)"
AtmosphericScattering.cs::UpdateAtmosphericScatteringToGlobalAtmosphere,both,own-planet,never runs on an unmodded client (gate below); a modded client runs it on its own tank,only caller AtmosphericScattering.cs:346 behind :344 IsGlobalInteraction gate (PAS.cs:63 false unmodded)
AtmosphericScatteringBlend.cs::(type),both,own-planet,never built on an unmodded client; see UpdateAtmosphericScatteringToGlobalAtmosphere,only constructed at AtmosphericScattering.cs:305 inside the IsGlobalInteraction-gated method (:344)
AtmosphericsWorker.cs::CacheDataTask,server-only,n/a,none,Job.CacheData only from AtmosphericsManager.cs:427 RunCacheAtmosphereDataJobs <- GameManager.cs:762 (RunSimulation)
GlobalAtmosphereData.cs::(type),both,none,"none (static world XML, same on every machine)",loaded on every machine at data init (WorldSettingData.cs:269 Init)
GlobalAtmosphereData.cs::GetGHGTemperatureOffset,both,own-planet,GHG term evaluated at the client's own (shipped) GHG index; host's added greenhouse gas absent from client temperature where no cell exists,GlobalGasMix.cs:551/559 formula (client via PAS.cs:363 read-only rebuild); PAS.cs:405
GlobalAtmosphereData.cs::GetSolarDistanceTemperatureOffset,both,none,"none (orbit only, same inputs on both)","GlobalGasMix.cs:558 and PAS.cs:404; args are solar angle and solar energy, not the tank"
GlobalAtmosphereLiquid.cs::(type),both,own-planet,sea render threshold fixed at class init per machine; with UpdateLiquid the client's sea comes from its own tank,GlobalAtmosphereLiquid.cs:14 static init via PAS.LiquidVolumeMultiplier (PAS.cs:522-529)
GlobalAtmosphereLiquid.cs::IsUnderGlobalLiquid,both,own-planet,"client's underwater camera, deep-water footsteps, buoyancy and submerged checks use its own sea level, not the host's sea",CameraController.cs:528 FixedUpdate -> AtmosphereHelper.cs:808; Human.cs:997 FootStep; DynamicThing.cs:2086 PhysicsUpdate
GlobalAtmosphereLiquid.cs::UpdateLiquid,both,own-planet,a sea the host made is not rendered on the client; client renders only its own tank's sea (LiquidSolver.cs:317/359),"GameManager.cs:746 (unguarded game tick); reads PAS.LiquidVolume/LiquidVolumeRatio (PAS.cs:374-375, set in the client's own tick)"
GlobalTemperatureCurveOffset.cs::(type),both,none,none (pure curve data),"day/night curve pair inside GlobalAtmosphereData, used by the formula on every machine"
GlobalTemperatureFloatOffset.cs::(type),both,none,none (pure data; which event applies is synced weather state),WeatherEvent.TemperatureOffset used GlobalGasMix.cs:556; event id synced WeatherManager.cs:661-680
Networks/AtmosphericsNetwork.cs::ApplyPressureDamageToWeakest,server-only,n/a,none on client; host judges bursts against host air,AtmosphericsNetwork.cs:362-366 if (GameManager.RunSimulation)
Networks/AtmosphericsNetwork.cs::EvaluateStressClient,client,mixed,"outdoor pipes with no cell show 'Pipe stressed' tooltip and stressed-pipe creak judged against the client's shipped planet pressure, not the host's","AtmosphericsNetwork.cs:370-372 else-branch of RunSimulation; NetworkTickTask AtmosphericsWorker.cs:427 <- AtmosphericsManager.cs:473 ProcessAtmospheresClient; Pipe.cs:241-253 audio, Pipe.cs:782 tooltip"
Networks/AtmosphericsNetwork.cs::ScanStructuresAndEvaluate,server-only,n/a,none,only caller AtmosphericsNetwork.cs:364 inside if (RunSimulation) :362
NewWorldSummary.cs::SetWorld,both,none,"none (main menu, throwaway tank from XML)","NewWorldMenu.cs:196 / WorldDescription.cs:55; menus, no world running"
Objects.Electrical/AdvancedComposter.cs::AtmosphericProcessing,server-only,n/a,none on client,only caller AdvancedComposter.cs:436 OnAtmosphericTick; Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
Objects.Electrical/FridgePowered.cs::InitInternalAtmosphere,server-only,n/a,none,"virtual call sites all RunSimulation-gated: Thing.cs:2286, 2326, 2866; Thing.cs:4757 AssignInternalAtmosphereOnLoad <- XmlSaveLoad.cs:1097 (host load)"
Objects.Electrical/FridgePowered.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation)
Objects.Electrical/LandingPadCenter.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
Objects.Electrical/LandingPadGasStorage.cs::OnAtmosphericTick,server-only,n/a,none,Thing.OnAtmosphericTick only via AtmosphericsManager.cs:95 <- ThingAtmosphereTick GameManager.cs:787 (if RunSimulation); CloneGlobalAtmosphere throws on client (AtmosphericsController.cs:291-294)
